Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,339.899994,341.700012,335.649994,340.250000,144.038559,5023286
2018-01-09,342.250000,342.850006,334.549988,337.700012,142.959061,6677065
2018-01-10,339.850006,343.500000,333.000000,334.799988,141.731415,7713328
2018-01-11,335.000000,336.299988,331.350006,333.899994,141.350403,4128079
2018-01-12,337.000000,341.450012,335.200012,339.549988,143.742233,8144499
2018-01-15,342.000000,344.000000,337.700012,339.200012,143.594055,5084069
2018-01-16,339.799988,340.750000,325.049988,330.149994,139.762924,8117693
2018-01-17,329.899994,336.250000,322.049988,334.899994,141.773743,9947827
2018-01-18,335.899994,336.000000,323.000000,326.700012,138.302414,13916937
2018-01-19,326.500000,333.700012,323.100006,331.649994,140.397919,7650044
2018-01-22,332.500000,332.700012,324.500000,326.950012,138.408264,7508442
2018-01-23,328.100006,349.950012,328.100006,343.500000,145.414383,18222487
2018-01-24,343.399994,347.399994,337.600006,340.000000,143.932724,11024875
2018-01-25,338.899994,352.049988,338.799988,345.600006,146.303360,13605990
2018-01-29,348.350006,355.700012,342.450012,345.000000,146.049393,13215637
2018-01-30,344.899994,344.899994,337.100006,341.299988,144.483047,7382593
2018-01-31,342.000000,346.450012,335.250000,340.350006,144.080933,8287707
2018-02-01,340.000000,346.200012,329.799988,341.450012,144.546585,15344365
2018-02-02,337.399994,345.950012,331.299988,334.299988,141.519745,11879455
2018-02-05,325.000000,332.899994,313.500000,328.850006,139.212585,12360798
2018-02-06,311.100006,328.850006,309.700012,321.649994,136.164581,12008404
2018-02-07,326.500000,331.000000,312.600006,315.700012,133.645782,16798249
2018-02-08,312.500000,318.600006,305.149994,314.450012,133.116608,16604938
2018-02-09,307.049988,321.000000,306.100006,316.299988,133.899765,9515144
2018-02-12,319.950012,319.950012,312.600006,315.549988,133.582275,9097394
2018-02-14,320.250000,323.399994,311.899994,315.750000,133.666916,7154264
2018-02-15,320.100006,328.350006,320.049988,324.399994,137.328766,11559723
2018-02-16,329.899994,329.899994,316.000000,319.750000,135.360260,9116738
2018-02-19,321.100006,324.500000,314.100006,320.350006,135.614288,8642478
2018-02-20,321.000000,331.000000,320.000000,328.700012,139.149094,11395413
2018-02-21,330.000000,331.000000,320.899994,327.600006,138.683426,12281795
2018-02-22,325.299988,330.549988,322.000000,328.649994,139.127899,17254470
2018-02-23,330.049988,340.750000,327.149994,337.899994,143.043762,11270987
2018-02-26,339.399994,345.000000,339.000000,343.149994,145.266220,8842289
2018-02-27,343.500000,344.850006,338.000000,340.600006,144.186737,4697935
2018-02-28,338.700012,338.700012,327.000000,329.750000,139.593582,10566570
2018-03-01,327.200012,333.649994,321.700012,323.250000,136.841919,8160931
2018-03-05,319.000000,321.250000,310.549988,315.899994,133.730423,9269131
2018-03-06,318.299988,327.450012,311.100006,313.450012,132.693298,11634001
2018-03-07,312.600006,313.399994,303.200012,309.350006,130.957596,12198965
2018-03-08,313.899994,317.000000,301.850006,308.399994,130.555466,9818423
2018-03-09,311.799988,316.399994,302.549988,304.149994,128.756271,13854157
2018-03-12,308.299988,318.750000,305.600006,317.399994,134.365433,11167602
2018-03-13,315.000000,324.000000,312.000000,321.049988,135.910599,17819886
2018-03-14,319.549988,323.100006,315.700012,318.950012,135.021591,10148672
2018-03-15,319.700012,320.799988,315.000000,316.950012,134.174927,9166951
2018-03-16,317.000000,317.000000,306.799988,308.899994,130.767105,13398137
2018-03-19,311.450012,313.600006,304.000000,307.200012,130.047440,10063284
2018-03-20,284.799988,293.100006,283.750000,287.100006,130.547638,14598256
2018-03-21,290.000000,293.500000,282.500000,285.750000,129.933792,11337441
2018-03-22,288.799988,294.200012,285.899994,291.799988,132.684769,12008468
2018-03-23,284.250000,285.500000,274.299988,276.000000,125.500351,13290580
2018-03-26,276.399994,286.000000,268.750000,283.299988,128.819733,14875633
2018-03-27,288.000000,289.899994,283.700012,287.000000,130.502151,10333840
2018-03-28,283.950012,285.950012,276.649994,277.850006,126.341606,14701677
2018-04-02,284.000000,284.899994,277.450012,282.299988,128.365036,6555940
2018-04-03,279.000000,284.700012,278.549988,283.200012,128.774277,9718071
2018-04-04,284.450012,289.799988,271.500000,274.299988,124.727341,12818170
2018-04-05,280.600006,291.750000,280.200012,289.899994,131.820831,15456965
2018-04-06,286.000000,287.600006,281.500000,285.049988,129.615463,9519156
2018-04-09,283.700012,289.399994,280.000000,281.350006,127.933044,11022862
2018-04-10,291.000000,292.000000,283.200012,284.100006,129.183502,12178281
2018-04-11,290.100006,297.700012,287.350006,296.799988,134.958328,22771881
2018-04-12,296.000000,296.450012,287.000000,288.700012,131.275192,10682208
2018-04-13,291.149994,294.700012,288.500000,291.649994,132.616592,11510464
2018-04-16,288.049988,291.950012,286.649994,290.299988,132.002731,7545130
2018-04-17,293.399994,295.250000,287.399994,288.799988,131.320648,9828946
2018-04-18,293.000000,294.000000,289.399994,291.100006,132.366501,14009181
2018-04-19,296.750000,313.500000,296.750000,311.700012,141.733551,31082632
2018-04-20,305.450012,309.750000,303.000000,308.600006,140.323929,13535858
2018-04-23,307.700012,311.450012,304.000000,305.049988,138.709702,7058597
2018-04-24,293.000000,299.799988,288.000000,297.399994,135.231171,14885085
2018-04-25,296.600006,297.549988,288.200012,290.200012,131.957275,8297914
2018-04-26,291.500000,293.750000,287.600006,290.299988,132.002731,11827702
2018-04-27,293.000000,296.500000,290.049988,294.049988,133.707870,6853011
2018-04-30,295.399994,302.250000,293.100006,298.399994,135.685898,6843221
2018-05-02,296.649994,296.649994,282.299988,283.399994,128.865204,12277622
2018-05-03,283.950012,288.750000,277.350006,286.200012,130.138412,13002792
2018-05-04,289.450012,290.700012,279.000000,281.649994,128.069443,16087098
2018-05-07,283.000000,289.399994,282.000000,285.450012,129.797379,8242354
2018-05-08,286.399994,287.450012,281.600006,282.899994,128.637848,7858792
2018-05-09,283.000000,290.399994,282.100006,283.149994,128.751511,10284823
2018-05-10,284.750000,285.500000,278.500000,279.700012,127.182785,8814612
2018-05-11,282.899994,287.299988,278.600006,286.950012,130.479446,9774064
2018-05-14,288.000000,288.350006,280.549988,282.100006,128.274094,7062942
2018-05-15,282.950012,285.500000,278.100006,281.700012,128.092194,15412120
2018-05-16,281.649994,284.000000,276.500000,278.799988,126.773537,10781519
2018-05-17,283.200012,283.950012,275.299988,276.950012,125.932327,9379615
2018-05-18,278.200012,278.500000,269.350006,270.299988,122.908478,8928454
2018-05-21,270.299988,273.250000,261.049988,263.850006,119.975578,9703835
2018-05-22,264.899994,270.899994,261.500000,269.950012,122.749344,8021927
2018-05-23,263.399994,263.500000,250.199997,252.649994,114.882843,18226457
2018-05-24,252.199997,253.250000,240.149994,250.600006,113.950699,20219901
2018-05-25,247.300003,256.750000,241.199997,251.800003,114.496330,27429408
2018-05-28,253.350006,255.250000,245.600006,253.649994,115.337532,9732030
2018-05-29,240.000000,255.000000,237.899994,253.250000,115.155663,32936741
2018-05-30,245.000000,252.850006,244.399994,251.100006,114.178040,16362468
2018-05-31,250.500000,252.850006,246.250000,248.300003,112.904846,29327091
2018-06-01,248.000000,258.399994,246.500000,248.250000,112.882095,18640874
