Date,Open,High,Low,Close,Adj Close,Volume
03-01-2011,315.5,318,314.549988,317.299988,129.144241,2929118
04-01-2011,318.899994,320,316.049988,319.200012,129.917557,2716995
05-01-2011,320,320,308.25,309.799988,126.09169,8555905
06-01-2011,311,313,308.5,309.100006,125.806793,2763146
07-01-2011,310,313.5,302.149994,309.100006,125.806793,2298583
10-01-2011,309.899994,310,302.100006,305.149994,124.199066,5413595
11-01-2011,306,312.950012,306,309.049988,125.78643,2781948
12-01-2011,309.899994,312.899994,306.25,308.5,125.562569,1181115
13-01-2011,309.399994,313.950012,307.5,310.450012,126.356247,2070696
14-01-2011,310.450012,315.5,307.950012,310.5,126.376579,2244505
17-01-2011,307.25,314,306.200012,313.149994,127.455147,1707118
18-01-2011,313.5,313.950012,308,311.149994,126.641151,844507
19-01-2011,311,312.700012,307.950012,309.399994,125.928894,1426048
20-01-2011,308.799988,319.200012,308.100006,315.700012,128.493057,6121175
21-01-2011,316.450012,316.450012,312,314.149994,127.862183,2413133
24-01-2011,314.899994,314.899994,309,310.450012,126.356247,1097986
25-01-2011,311,315.700012,308.549988,310,126.173103,2452476
27-01-2011,311,312.899994,307.200012,308.299988,125.481201,2455783
28-01-2011,307.049988,309.700012,303.049988,305.049988,124.158394,4236476
31-01-2011,302,307.5,300.549988,304.350006,123.873474,3673855
01-02-2011,305.5,309.850006,303.5,308.299988,125.481201,4863055
02-02-2011,310.100006,314.899994,308.549988,312.5,127.190605,3374631
03-02-2011,311,320,310.899994,317.350006,129.164612,4211492
04-02-2011,317.350006,318.100006,307,308.149994,125.42012,1688679
07-02-2011,309.399994,310.450012,304.149994,304.649994,123.995583,1799233
08-02-2011,306.899994,307.450012,296.200012,301.399994,122.672775,3841730
09-02-2011,302,307.850006,297,298.700012,121.573875,4490558
10-02-2011,300.100006,304,293.25,297.649994,121.146523,2690945
11-02-2011,298.100006,305,298,304.600006,123.975235,3292240
14-02-2011,306,307,300.100006,302.799988,123.242622,1942474
15-02-2011,304.5,307.850006,302,302.450012,123.100174,3035367
16-02-2011,304.25,304.450012,300.450012,301.100006,122.550728,1619527
17-02-2011,302.950012,306.399994,302,305.049988,124.158394,2752128
18-02-2011,303.899994,305.200012,300.100006,302.350006,124.487801,1990388
21-02-2011,301.5,303.899994,300,301.850006,124.281906,953044
22-02-2011,302.5,303.5,300.299988,301.350006,124.076042,1436876
23-02-2011,302.399994,302.399994,299,300.649994,123.787827,2131294
24-02-2011,301.399994,303,298.25,299.299988,123.231979,2899140
25-02-2011,300.100006,303,289,292.649994,120.493935,1964843
28-02-2011,299,331.75,296.100006,327.700012,134.925247,20923045
01-03-2011,325,339.899994,320.649994,338.600006,139.413162,7867356
03-03-2011,338,338,327.200012,329.049988,135.481049,4387230
04-03-2011,332.700012,334.950012,323.25,324.25,133.504745,1402888
07-03-2011,322,343.549988,318.399994,341,140.401291,7183263
08-03-2011,343,344.5,335.350006,337.25,138.8573,3110206
09-03-2011,339.799988,341.200012,336.049988,339.549988,139.804276,1603527
10-03-2011,339.799988,339.799988,329.75,334.299988,137.642685,1612997
11-03-2011,334.950012,335,328.100006,329.950012,135.851639,856545
14-03-2011,330.899994,335.75,327.049988,333.799988,137.436783,1128910
15-03-2011,329,342.899994,320.149994,338.450012,139.351349,4638465
16-03-2011,339.100006,347.899994,333.5,343.899994,141.595322,3717632
17-03-2011,342,347.5,338.5,342.950012,141.204178,1815524
18-03-2011,343.5,347,337.600006,344.399994,141.801193,2926170
21-03-2011,343.350006,349.899994,343.299988,347.149994,142.933441,3943734
22-03-2011,347.5,371.399994,347.399994,360,148.224228,9681241
23-03-2011,361,363.799988,352.049988,353.899994,145.712662,2695567
24-03-2011,353.899994,361.350006,353.899994,358.299988,147.524292,2324343
25-03-2011,360,362,356.549988,358.100006,147.44191,2203586
28-03-2011,359.850006,360,349.350006,350.950012,144.498047,1128268
29-03-2011,352,352,340.649994,346.25,142.562897,6481785
30-03-2011,347,350.5,340.100006,341.399994,140.565979,2449230
31-03-2011,342.399994,348.899994,341.399994,346.5,142.665833,3248352
01-04-2011,347,348.5,342.600006,346.899994,142.830536,2169798
04-04-2011,347.350006,360.950012,345.350006,355.950012,146.556732,2719239
05-04-2011,351.100006,361,351.100006,358.75,147.709564,1328250
06-04-2011,358.75,367.799988,354.799988,366.450012,150.879944,4513558
07-04-2011,367.299988,370.799988,358.299988,359.649994,148.080109,2485182
08-04-2011,363,363.700012,351.5,355.25,146.268494,2121665
11-04-2011,356.399994,363,352.600006,357.600006,147.236099,2751598
13-04-2011,358,359.399994,350,353.899994,145.712662,1432901
15-04-2011,355,358.75,350.5,357.450012,147.174332,2609120
18-04-2011,359.049988,359.25,350.450012,352.700012,145.218597,979661
19-04-2011,352,354.799988,345.899994,349.600006,143.942215,1488088
20-04-2011,351.5,368.899994,351,366.549988,150.921097,4296720
21-04-2011,369.700012,369.75,358.049988,362.299988,149.171219,4895594
25-04-2011,363,365.299988,359.5,364.149994,149.932953,1832622
26-04-2011,361.549988,365,358.100006,364.450012,150.056458,1277232
27-04-2011,360,377,359.450012,370.850006,152.691559,3734876
28-04-2011,372,381.799988,370.75,376.700012,155.10022,7546827
29-04-2011,376.700012,383.299988,374.5,380.549988,156.685364,3799109
02-05-2011,362,382.950012,362,379.700012,156.335419,1855839
03-05-2011,378,384.5,368.549988,371.5,152.959198,2031295
04-05-2011,371,374.799988,361.299988,371.700012,153.041534,2881731
05-05-2011,370.950012,374.950012,365.25,368.299988,151.641647,1537387
06-05-2011,369.450012,372.899994,365.549988,369.75,152.238647,2241153
09-05-2011,370,393.899994,368.649994,392.299988,161.523224,6109075
10-05-2011,392,396.350006,385,386.149994,158.991089,3322937
11-05-2011,387.299988,393.450012,381.5,384.149994,158.167633,2854705
12-05-2011,385.899994,393.200012,380.350006,381.850006,157.220627,2726810
13-05-2011,383,391.549988,382.049988,386.850006,159.279312,2281880
16-05-2011,388,393.25,386,388.899994,160.123352,1551570
17-05-2011,390,401.399994,389.5,397.600006,163.70546,5674815
18-05-2011,399.600006,399.600006,370.399994,373.700012,153.865005,8642834
19-05-2011,375.049988,384.75,365.5,376.100006,154.85318,11416019
20-05-2011,372,373.600006,362.649994,364.950012,150.262329,5400664
23-05-2011,364,373.450012,362.450012,365.399994,150.447601,1974392
24-05-2011,367,375.399994,359.25,370.700012,152.629776,3890213
25-05-2011,373.600006,384.899994,371,377.350006,155.367813,3824128
26-05-2011,380,390.799988,379.75,388.950012,160.143982,5232851
27-05-2011,389.5,394.5,386,387.899994,159.711624,2737715
30-05-2011,390,397,390,394.950012,162.614365,2529091
31-05-2011,394,422.350006,394,408.450012,168.172775,11708250
01-06-2011,415,416.600006,405.100006,414.450012,170.643173,4496698
02-06-2011,413,413.5,400.600006,402.75,165.825882,2842746
03-06-2011,402.600006,408.25,390.100006,391.649994,161.255615,2764367
06-06-2011,392,399.799988,390.350006,393.899994,162.182022,2009110
07-06-2011,395,404.299988,393.299988,403.149994,165.99057,1982013
08-06-2011,404.049988,413.799988,402.700012,407.649994,167.843384,3290373
09-06-2011,408,411.399994,405.549988,407.350006,167.719833,1360848
10-06-2011,408.799988,411.950012,400.75,405.350006,166.896378,1845651
13-06-2011,405,405.049988,395,396.299988,163.170197,1548256
14-06-2011,398.200012,402.5,392.200012,394.700012,162.511414,2432283
15-06-2011,394.799988,397.350006,388.600006,390.149994,160.638016,2682187
16-06-2011,390,396.700012,387.950012,394.25,162.326126,1462308
17-06-2011,394.5,402.600006,393,395.600006,162.882019,3800502
20-06-2011,400.149994,406.350006,392.799988,395.600006,162.882019,3967696
21-06-2011,396.950012,399.799988,388.25,389.75,160.473343,2133725
22-06-2011,392.049988,393,376.100006,378.649994,155.903076,2533012
23-06-2011,378.649994,382.799988,375,376.100006,154.85318,2255855
24-06-2011,378.600006,391.5,378.600006,390,160.576248,2896582
27-06-2011,408.600006,408.600006,385.700012,397.799988,163.787796,2439080
